"bh_clean","response_id"
"Bangladesh",138119968
"Bangladeshi",138114605
"Bengali",138116917
"Burmese",136634399
"Cambodian Chinese",138137573
"Cambodian/ Thai",136141961
"Central Asian / Uzbek",138133544
"Chinese Indonesian",138142122
"Filipino",138139600
"Indonesian",138116705
"Kazakh",138135364
"Khmer",138115567
"Laos",138136441
"Pakistani",138122195
"Southwest Asian",138122621
"Taiwanese",136487862
"Tartarian/Mongolian",138125492
"Thai",138116843
"cambodian",138118851
